seed,name,risk_bonus,threshold,clean_accuracy,clean_precision_spam,clean_recall_spam,clean_f1_spam,clean_macro_f1,clean_weighted_f1,clean_balanced_accuracy,clean_false_positive_rate,clean_true_negative,clean_false_positive,clean_false_negative,clean_true_positive,clean_roc_auc,clean_pr_auc,clean_recall_at_precision_90,clean_recall_at_precision_95
0,v4_bad_case_valid_tuned,0.1,0.35,0.993,0.976271186440678,0.9536423841059603,0.964824120603015,0.9804686955041727,0.9929634959918973,0.9755239348254041,0.0025945144551519643,5382.0,14.0,28.0,576.0,0.9990135567675836,0.9928912561986153,0.9784768211920529,0.9635761589403974
0,v5_max_score_fusion,0.4,0.4,0.9931666666666666,0.9747048903878583,0.956953642384106,0.9657477025898078,0.9809762302637088,0.9931387476992645,0.9770869027339358,0.0027798369162342477,5381.0,15.0,26.0,578.0,0.9991571509923957,0.993721011163173,0.9801324503311258,0.9652317880794702
1,v4_bad_case_valid_tuned,0.1,0.35,0.99,0.9579124579124579,0.9420529801324503,0.9499165275459098,0.9721810003032271,0.9899628925454045,0.9687099593026967,0.004633061527057079,5371.0,25.0,35.0,569.0,0.9972124924520984,0.9845349166870666,0.9718543046357616,0.9470198675496688
1,v5_max_score_fusion,0.4,0.4,0.9905,0.9612141652613828,0.9437086092715232,0.9523809523809523,0.9735523201227172,0.9904611858258068,0.9697230963333154,0.004262416604892513,5373.0,23.0,34.0,570.0,0.9970234880878157,0.9827636741701463,0.9735099337748344,0.9536423841059603
2,v4_bad_case_valid_tuned,0.1,0.35,0.9885,0.9510961214165261,0.9337748344370861,0.9423558897243107,0.9679843875169735,0.9884530144207134,0.9642002415328499,0.005374351371386212,5367.0,29.0,40.0,564.0,0.9975076583586566,0.9853563034199294,0.9619205298013245,0.9337748344370861
2,v5_max_score_fusion,0.4,0.4,0.9891666666666666,0.9560067681895094,0.9354304635761589,0.9456066945606695,0.9697954805519682,0.9891142576303522,0.9653060397940098,0.004818383988139363,5370.0,26.0,39.0,565.0,0.9980805011315715,0.9880342643940238,0.9701986754966887,0.9470198675496688
3,v4_bad_case_valid_tuned,0.1,0.35,0.9918333333333333,0.9586776859504132,0.9602649006622517,0.9594706368899917,0.9774649079177046,0.9918363323785045,0.9778159195675973,0.004633061527057079,5371.0,25.0,24.0,580.0,0.9981047403276403,0.9888977414214538,0.9817880794701986,0.9701986754966887
3,v5_max_score_fusion,0.4,0.4,0.9916666666666667,0.9570957095709571,0.9602649006622517,0.9586776859504132,0.9770218828269212,0.9916727813989588,0.9777232583370561,0.004818383988139363,5370.0,26.0,24.0,580.0,0.9980427616237684,0.9875727931905727,0.9801324503311258,0.9685430463576159
4,v4_bad_case_valid_tuned,0.1,0.35,0.9893333333333333,0.9545454545454546,0.9387417218543046,0.9465776293823038,0.9703264003234422,0.9892937520484314,0.9668690077025415,0.005003706449221645,5369.0,27.0,37.0,567.0,0.9979163496138911,0.9860970122968243,0.9619205298013245,0.9470198675496688
4,v5_max_score_fusion,0.4,0.4,0.9891666666666666,0.9484193011647255,0.9437086092715232,0.946058091286307,0.9700183925630238,0.9891546865160282,0.9689818064889862,0.005744996293550779,5365.0,31.0,34.0,570.0,0.9978212337812165,0.9851330080532326,0.9668874172185431,0.9437086092715232
42,v4_bad_case_valid_tuned,0.1,0.35,0.9901666666666666,0.9534109816971714,0.9486754966887417,0.9510373443983402,0.9727859255572062,0.9901557923760873,0.9717432338892189,0.005189028910303929,5368.0,28.0,31.0,573.0,0.9986711397699546,0.989980543534922,0.9784768211920529,0.9486754966887417
42,v5_max_score_fusion,0.4,0.4,0.9916666666666667,0.9555921052631579,0.9619205298013245,0.9587458745874587,0.9770555476014787,0.9916788731153428,0.9784584116760514,0.005003706449221645,5369.0,27.0,23.0,581.0,0.9988776331744388,0.9910299067836204,0.9817880794701986,0.9619205298013245
123,v4_bad_case_valid_tuned,0.1,0.35,0.9915,0.9726495726495726,0.9420529801324503,0.9571068124474348,0.97619469750112,0.9914395550306634,0.9695439103775669,0.0029651593773165306,5380.0,16.0,35.0,569.0,0.9985260114188091,0.991282142440033,0.9801324503311258,0.9602649006622517
123,v5_max_score_fusion,0.4,0.4,0.9926666666666667,0.972972972972973,0.9536423841059603,0.9632107023411371,0.9795690683123679,0.9926339499347241,0.9753386123643218,0.0029651593773165306,5380.0,16.0,28.0,576.0,0.9985453414106108,0.9918181504795028,0.9801324503311258,0.9668874172185431
